record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,od_buy,mid_rate,sell_margin_pct,buy_margin_pct,od_buy_margin_pct
native,dbs,AED,SGD,AED/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-16T13:07:44.867354+00:00,0.351,0.3456,,0.3483,0.7751937984496068,0.7751937984496068,
native,dbs,AED,SGD,AED/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-16T13:07:44.867354+00:00,0.3538,0.3428,,0.3483,1.5790984783232858,1.5790984783232858,
native,dbs,AUD,SGD,AUD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-16T13:07:44.867354+00:00,0.9177,0.8951,0.8901,0.9064,1.2466902030008802,1.2466902030008802,1.7983230361871119
native,dbs,AUD,SGD,AUD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-16T13:07:44.867354+00:00,0.9182,0.8946,0.8901,0.9064,1.3018534863195093,1.3018534863195093,1.7983230361871119
native,dbs,BDT,SGD,BDT/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-16T13:07:44.867354+00:00,1.0551,,,,,,
native,dbs,BDT,SGD,BDT/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-16T13:07:44.867354+00:00,1.0551,,,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-16T13:07:44.867354+00:00,3.4769,,,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-16T13:07:44.867354+00:00,3.4907,,,,,,
native,dbs,BND,SGD,BND/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-16T13:07:44.867354+00:00,1.0,1.0,0.9926,1.0,0.0,0.0,0.7399999999999962
native,dbs,BND,SGD,BND/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-16T13:07:44.867354+00:00,1.0,1.0,0.9926,1.0,0.0,0.0,0.7399999999999962
