record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,mid_rate,sell_margin_pct,buy_margin_pct
native,dbs,AED,SGD,AED/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-19 21:15:00,2026-08-19 13:15:13,2026-08-19T13:23:42.959402+00:00,0.3488,0.344,0.3464,0.6928406466512741,0.6928406466512741
native,dbs,AED,SGD,AED/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-19 21:15:00,2026-08-19 13:15:13,2026-08-19T13:23:42.959402+00:00,0.3515,0.3412,0.34635,1.4869351811751084,1.4869351811751084
native,dbs,AUD,SGD,AUD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-19 21:15:00,2026-08-19 13:15:13,2026-08-19T13:23:42.959402+00:00,0.9158,0.8958,0.9057999999999999,1.1039964672113058,1.1039964672112939
native,dbs,AUD,SGD,AUD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-19 21:15:00,2026-08-19 13:15:13,2026-08-19T13:23:42.959402+00:00,0.9163,0.8954,0.90585,1.1536126290224606,1.1536126290224729
native,dbs,BDT,SGD,BDT/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-19 21:15:00,2026-08-19 13:15:13,2026-08-19T13:23:42.959402+00:00,1.0516,,,,
native,dbs,BDT,SGD,BDT/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-19 21:15:00,2026-08-19 13:15:13,2026-08-19T13:23:42.959402+00:00,1.0516,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-19 21:15:00,2026-08-19 13:15:13,2026-08-19T13:23:42.959402+00:00,3.4553,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-19 21:15:00,2026-08-19 13:15:13,2026-08-19T13:23:42.959402+00:00,3.4688,,,,
native,dbs,BND,SGD,BND/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-19 21:15:00,2026-08-19 13:15:13,2026-08-19T13:23:42.959402+00:00,1.0,1.0,1.0,0.0,0.0
native,dbs,BND,SGD,BND/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-19 21:15:00,2026-08-19 13:15:13,2026-08-19T13:23:42.959402+00:00,1.0,1.0,1.0,0.0,0.0
native,dbs,CAD,SGD,CAD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-19 21:15:00,2026-08-19 13:15:13,2026-08-19T13:23:42.959402+00:00,0.9262,0.9123,0.91925,0.7560511286374775,0.7560511286374775
native,dbs,CAD,SGD,CAD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-19 21:15:00,2026-08-19 13:15:13,2026-08-19T13:23:42.959402+00:00,0.9294,0.9091,0.91925,1.1041610008158815,1.1041610008158815
