record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,mid_rate,bank_mid_rate,mid_source,sell_margin_pct,buy_margin_pct
native,dbs,AED,SGD,AED/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-19 00:30:00,2026-09-18 16:30:15,2026-09-18T16:36:09.573852+00:00,0.3501,0.3453,0.34729999999999994,0.3477,MAS,0.8062194068528882,0.5758710048948882
native,dbs,AED,SGD,AED/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-19 00:30:00,2026-09-18 16:30:15,2026-09-18T16:36:09.573852+00:00,0.3528,0.3425,0.34729999999999994,0.34765,MAS,1.5836452634610025,1.3820904117477444
native,dbs,AUD,SGD,AUD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-19 00:30:00,2026-09-18 16:30:15,2026-09-18T16:36:09.573852+00:00,0.9188,0.8987,0.91,0.90875,MAS,0.9670329670329582,1.2417582417582391
native,dbs,AUD,SGD,AUD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-19 00:30:00,2026-09-18 16:30:15,2026-09-18T16:36:09.573852+00:00,0.9193,0.8983,0.91,0.9088,MAS,1.0219780219780192,1.2857142857142905
native,dbs,BDT,SGD,BDT/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-19 00:30:00,2026-09-18 16:30:15,2026-09-18T16:36:09.573852+00:00,1.0547,,,,,,
native,dbs,BDT,SGD,BDT/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-19 00:30:00,2026-09-18 16:30:15,2026-09-18T16:36:09.573852+00:00,1.0547,,,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-19 00:30:00,2026-09-18 16:30:15,2026-09-18T16:36:09.573852+00:00,3.4505,,,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-19 00:30:00,2026-09-18 16:30:15,2026-09-18T16:36:09.573852+00:00,3.4641,,,,,,
native,dbs,BND,SGD,BND/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-19 00:30:00,2026-09-18 16:30:15,2026-09-18T16:36:09.573852+00:00,1.0,1.0,,1.0,,,
native,dbs,BND,SGD,BND/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-19 00:30:00,2026-09-18 16:30:15,2026-09-18T16:36:09.573852+00:00,1.0,1.0,,1.0,,,
native,dbs,CAD,SGD,CAD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-19 00:30:00,2026-09-18 16:30:15,2026-09-18T16:36:09.573852+00:00,0.9186,0.9048,0.9124,0.9117,MAS,0.6795265234546233,0.8329679964927598
native,dbs,CAD,SGD,CAD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-19 00:30:00,2026-09-18 16:30:15,2026-09-18T16:36:09.573852+00:00,0.9218,0.9016,0.9124,0.9117,MAS,1.0302498903989439,1.1836913634370925
