record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,mid_rate,sell_margin_pct,buy_margin_pct
native,dbs,AED,SGD,AED/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-08 01:45:09,2026-09-07 17:45:22,2026-09-07T17:48:05.156531+00:00,0.3471,0.3424,0.34475,0.6816533720087073,0.6816533720087073
native,dbs,AED,SGD,AED/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-08 01:45:09,2026-09-07 17:45:22,2026-09-07T17:48:05.156531+00:00,0.3498,0.3396,0.3447,1.4795474325500415,1.4795474325500415
native,dbs,AUD,SGD,AUD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-08 01:45:09,2026-09-07 17:45:22,2026-09-07T17:48:05.156531+00:00,0.9241,0.9039,0.914,1.1050328227571113,1.1050328227571113
native,dbs,AUD,SGD,AUD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-08 01:45:09,2026-09-07 17:45:22,2026-09-07T17:48:05.156531+00:00,0.9246,0.9035,0.91405,1.1542038181718668,1.1542038181718788
native,dbs,BDT,SGD,BDT/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-08 01:45:09,2026-09-07 17:45:22,2026-09-07T17:48:05.156531+00:00,1.041,,,,
native,dbs,BDT,SGD,BDT/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-08 01:45:09,2026-09-07 17:45:22,2026-09-07T17:48:05.156531+00:00,1.041,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-08 01:45:09,2026-09-07 17:45:22,2026-09-07T17:48:05.156531+00:00,3.4211,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-08 01:45:09,2026-09-07 17:45:22,2026-09-07T17:48:05.156531+00:00,3.4346,,,,
native,dbs,BND,SGD,BND/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-08 01:45:09,2026-09-07 17:45:22,2026-09-07T17:48:05.156531+00:00,1.0,1.0,1.0,0.0,0.0
native,dbs,BND,SGD,BND/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-08 01:45:09,2026-09-07 17:45:22,2026-09-07T17:48:05.156531+00:00,1.0,1.0,1.0,0.0,0.0
native,dbs,CAD,SGD,CAD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-08 01:45:09,2026-09-07 17:45:22,2026-09-07T17:48:05.156531+00:00,0.9236,0.9097,0.91665,0.7581956035564297,0.7581956035564297
native,dbs,CAD,SGD,CAD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-08 01:45:09,2026-09-07 17:45:22,2026-09-07T17:48:05.156531+00:00,0.9268,0.9065,0.91665,1.1072928598701788,1.1072928598701788
native,dbs,CHF,SGD,CHF/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-08 01:45:09,2026-09-07 17:45:22,2026-09-07T17:48:05.156531+00:00,1.5793,1.5495,1.5644,0.952441830733822,0.952441830733822
