record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,mid_rate,sell_margin_pct,buy_margin_pct
native,dbs,AED,SGD,AED/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-25 21:15:00,2026-08-25 13:15:13,2026-08-25T13:26:30.214116+00:00,0.3481,0.3434,0.34575,0.6796818510484508,0.6796818510484508
native,dbs,AED,SGD,AED/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-25 21:15:00,2026-08-25 13:15:13,2026-08-25T13:26:30.214116+00:00,0.3508,0.3406,0.3457,1.4752675730402063,1.4752675730402063
native,dbs,AUD,SGD,AUD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-25 21:15:00,2026-08-25 13:15:13,2026-08-25T13:26:30.214116+00:00,0.9193,0.8992,0.90925,1.105306571350014,1.105306571350014
native,dbs,AUD,SGD,AUD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-25 21:15:00,2026-08-25 13:15:13,2026-08-25T13:26:30.214116+00:00,0.9197,0.8987,0.9092,1.1548614166299993,1.1548614166299993
native,dbs,BDT,SGD,BDT/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-25 21:15:00,2026-08-25 13:15:13,2026-08-25T13:26:30.214116+00:00,1.0486,,,,
native,dbs,BDT,SGD,BDT/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-25 21:15:00,2026-08-25 13:15:13,2026-08-25T13:26:30.214116+00:00,1.0486,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-25 21:15:00,2026-08-25 13:15:13,2026-08-25T13:26:30.214116+00:00,3.4484,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-25 21:15:00,2026-08-25 13:15:13,2026-08-25T13:26:30.214116+00:00,3.462,,,,
native,dbs,BND,SGD,BND/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-25 21:15:00,2026-08-25 13:15:13,2026-08-25T13:26:30.214116+00:00,1.0,1.0,1.0,0.0,0.0
native,dbs,BND,SGD,BND/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-25 21:15:00,2026-08-25 13:15:13,2026-08-25T13:26:30.214116+00:00,1.0,1.0,1.0,0.0,0.0
