record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,mid_rate,bank_mid_rate,mid_source,sell_margin_pct,buy_margin_pct
native,dbs,AED,SGD,AED/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.3474,0.3427,0.34409999999999996,0.34504999999999997,MAS,0.9590235396687083,0.4068584713745879
native,dbs,AED,SGD,AED/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.3501,0.3399,0.34409999999999996,0.345,MAS,1.7436791630340196,1.2205754141237959
native,dbs,AUD,SGD,AUD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.9182,0.8981,0.9125,0.90815,MAS,0.6246575342465797,1.5780821917808183
native,dbs,AUD,SGD,AUD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.9186,0.8976,0.9125,0.9080999999999999,MAS,0.6684931506849309,1.6328767123287697
native,dbs,BDT,SGD,BDT/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,1.0389,,,,,,
native,dbs,BDT,SGD,BDT/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,1.0389,,,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,3.4241,,,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,3.4375,,,,,,
native,dbs,BND,SGD,BND/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,1.0,1.0,,1.0,,,
native,dbs,BND,SGD,BND/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,1.0,1.0,,1.0,,,
native,dbs,CAD,SGD,CAD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.9244,0.9105,0.9154000000000001,0.91745,MAS,0.9831767533318655,0.53528512125848
native,dbs,CAD,SGD,CAD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.9276,0.9073,0.9154000000000001,0.91745,MAS,1.3327507100720861,0.8848590779987007
native,dbs,CHF,SGD,CHF/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,1.5753,1.5454,1.5622999999999998,1.5603500000000001,MAS,0.832106509633241,1.0817384625231834
native,dbs,CHF,SGD,CHF/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,1.576,1.5446,1.5622999999999998,1.5603,MAS,0.8769122447673475,1.1329450169621602
native,dbs,CNH,SGD,CNH/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.1909,0.1865,,0.18869999999999998,,,
native,dbs,CNH,SGD,CNH/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.1915,0.1858,,0.18864999999999998,,,
native,dbs,CNY,SGD,CNY/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.1889,,0.1884,,MAS,0.2653927813163484,
native,dbs,CNY,SGD,CNY/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.1906,,0.1884,,MAS,1.1677282377919211,
native,dbs,DKK,SGD,DKK/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.1997,0.1943,,0.197,,,
native,dbs,DKK,SGD,DKK/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.2001,0.1939,,0.197,,,
native,dbs,EUR,SGD,EUR/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,1.4855,1.4604,1.471,1.47295,MAS,0.9857239972807584,0.7205982324949126
native,dbs,EUR,SGD,EUR/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,1.4863,1.4596,1.471,1.47295,MAS,1.0401087695445186,0.7749830047586728
native,dbs,GBP,SGD,GBP/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,1.7272,1.7013,1.7135,1.71425,MAS,0.7995331193463697,0.7119929967901948
native,dbs,GBP,SGD,GBP/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,1.7289,1.6996,1.7135,1.71425,MAS,0.8987452582433662,0.8112051356871912
native,dbs,HKD,SGD,HKD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.1632,0.1599,0.1612,0.16155,MAS,1.240694789081887,0.8064516129032402
native,dbs,HKD,SGD,HKD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.1633,0.1598,0.1612,0.16155,MAS,1.3027295285359743,0.8684863523573277
native,dbs,HUF,SGD,HUF/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.4123,,,,,,
native,dbs,HUF,SGD,HUF/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.4139,,,,,,
native,dbs,ID0,SGD,ID0/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,,,,,,,
native,dbs,ID0,SGD,ID0/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,,0.0072,,,,,
native,dbs,IDR,SGD,IDR/SGD,100,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.0074,,0.007206999999999999,,MAS,2.677951991119764,
native,dbs,IDR,SGD,IDR/SGD,100,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.0074,,0.007206999999999999,,MAS,2.677951991119764,
native,dbs,IN0,SGD,IN0/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,,1.3213,,,,,
native,dbs,IN0,SGD,IN0/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,,1.3213,,,,,
native,dbs,INR,SGD,INR/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,1.3428,,1.3267,,MAS,1.2135373483078316,
native,dbs,INR,SGD,INR/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,1.3535,,1.3267,,MAS,2.020049747493777,
native,dbs,JPY,SGD,JPY/SGD,100,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.8299,0.8133,0.824,0.8216,MAS,0.7160194174757302,1.2985436893203801
native,dbs,JPY,SGD,JPY/SGD,100,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.8307,0.8125,0.824,0.8216,MAS,0.8131067961165096,1.3956310679611597
native,dbs,KRW,SGD,KRW/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.0953,,0.0945,,MAS,0.8465608465608414,
native,dbs,KRW,SGD,KRW/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.0953,,0.0945,,MAS,0.8465608465608414,
native,dbs,KWD,SGD,KWD/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,423.5583,,,,,,
native,dbs,KWD,SGD,KWD/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,425.2286,,,,,,
native,dbs,LKR,SGD,LKR/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.3932,,,,,,
native,dbs,LKR,SGD,LKR/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.3932,,,,,,
native,dbs,MM1,SGD,MM1/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,,,,,,,
native,dbs,MM1,SGD,MM1/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,,,,,,,
native,dbs,MMK,SGD,MMK/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.0322,,,,,,
native,dbs,MMK,SGD,MMK/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.0322,,,,,,
native,dbs,MUR,SGD,MUR/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,2.68,,,,,,
native,dbs,MUR,SGD,MUR/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,2.6905,,,,,,
native,dbs,MXN,SGD,MXN/SGD,100,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,7.5773,,,,,,
native,dbs,MXN,SGD,MXN/SGD,100,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,7.5773,,,,,,
native,dbs,MY0,SGD,MY0/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,,0.311,,,,,
native,dbs,MY0,SGD,MY0/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,,0.311,,,,,
native,dbs,MYR,SGD,MYR/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.315,,0.31120000000000003,,MAS,1.2210796915166997,
native,dbs,MYR,SGD,MYR/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.315,,0.31120000000000003,,MAS,1.2210796915166997,
native,dbs,NOK,SGD,NOK/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.1386,0.1348,,0.1367,,,
native,dbs,NOK,SGD,NOK/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.139,0.1344,,0.1367,,,
native,dbs,NZD,SGD,NZD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.744,0.7269,0.7394,0.7354499999999999,MAS,0.622126048147153,1.6905599134433267
native,dbs,NZD,SGD,NZD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-11 00:15:00,2026-09-10 16:15:14,2026-09-10T16:33:58.754314+00:00,0.7447,0.7262,0.7394,0.7354499999999999,MAS,0.7167974032999841,1.7852312685961578
