record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,mid_rate,bank_mid_rate,mid_source,sell_margin_pct,buy_margin_pct
native,dbs,AED,SGD,AED/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.3497,0.3445,,0.34709999999999996,,,
native,dbs,AED,SGD,AED/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.3525,0.3417,,0.34709999999999996,,,
native,dbs,AUD,SGD,AUD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.9245,0.9019,,0.9132,,,
native,dbs,AUD,SGD,AUD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.925,0.9015,,0.91325,,,
native,dbs,BDT,SGD,BDT/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,1.0487,,,,,,
native,dbs,BDT,SGD,BDT/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,1.0487,,,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,3.4471,,,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,3.4607,,,,,,
native,dbs,BND,SGD,BND/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,1.0,1.0,,1.0,,,
native,dbs,BND,SGD,BND/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,1.0,1.0,,1.0,,,
native,dbs,CAD,SGD,CAD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.9248,0.9088,,0.9168000000000001,,,
native,dbs,CAD,SGD,CAD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.928,0.9056,,0.9168000000000001,,,
native,dbs,CHF,SGD,CHF/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,1.5915,1.5575,,1.5745,,,
native,dbs,CHF,SGD,CHF/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,1.5923,1.5568,,1.57455,,,
native,dbs,CNH,SGD,CNH/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.1917,0.1869,,0.18930000000000002,,,
native,dbs,CNH,SGD,CNH/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.1924,0.1863,,0.18935,,,
native,dbs,CNY,SGD,CNY/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.1896,,,,,,
native,dbs,CNY,SGD,CNY/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.1913,,,,,,
native,dbs,DKK,SGD,DKK/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.2004,0.1946,,0.1975,,,
native,dbs,DKK,SGD,DKK/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.2008,0.1942,,0.1975,,,
native,dbs,EUR,SGD,EUR/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,1.4905,1.4623,,1.4764,,,
native,dbs,EUR,SGD,EUR/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,1.4912,1.4616,,1.4764,,,
native,dbs,GBP,SGD,GBP/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,1.7408,1.7105,,1.72565,,,
native,dbs,GBP,SGD,GBP/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,1.7425,1.7088,,1.72565,,,
native,dbs,HKD,SGD,HKD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.1644,0.1608,,0.1626,,,
native,dbs,HKD,SGD,HKD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.1645,0.1606,,0.16255,,,
native,dbs,HUF,SGD,HUF/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.415,,,,,,
native,dbs,HUF,SGD,HUF/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.4166,,,,,,
native,dbs,ID0,SGD,ID0/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,,,,,,,
native,dbs,ID0,SGD,ID0/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,,0.0072,,,,,
native,dbs,IDR,SGD,IDR/SGD,100,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.0074,,,,,,
native,dbs,IDR,SGD,IDR/SGD,100,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.0074,,,,,,
native,dbs,IN0,SGD,IN0/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,,1.3295,,,,,
native,dbs,IN0,SGD,IN0/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,,1.3295,,,,,
native,dbs,INR,SGD,INR/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,1.3522,,,,,,
native,dbs,INR,SGD,INR/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,1.363,,,,,,
native,dbs,JPY,SGD,JPY/SGD,100,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.805,0.7873,,0.79615,,,
native,dbs,JPY,SGD,JPY/SGD,100,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.8058,0.7865,,0.7961499999999999,,,
native,dbs,KRW,SGD,KRW/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.0939,,,,,,
native,dbs,KRW,SGD,KRW/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.0939,,,,,,
native,dbs,KWD,SGD,KWD/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,423.474,,,,,,
native,dbs,KWD,SGD,KWD/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,425.1441,,,,,,
native,dbs,LKR,SGD,LKR/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.3966,,,,,,
native,dbs,LKR,SGD,LKR/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.3966,,,,,,
native,dbs,MM1,SGD,MM1/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,,,,,,,
native,dbs,MM1,SGD,MM1/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,,,,,,,
native,dbs,MMK,SGD,MMK/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-30T16:51:58.469429+00:00,0.0326,,,,,,
