record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,mid_rate,bank_mid_rate,mid_source,sell_margin_pct,buy_margin_pct
native,dbs,AED,SGD,AED/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,0.3499,0.3451,0.34759999999999996,0.34750000000000003,MAS,0.6616800920598459,0.7192174913693749
native,dbs,AED,SGD,AED/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,0.3526,0.3423,0.34759999999999996,0.34745000000000004,MAS,1.4384349827387974,1.5247410817030989
native,dbs,AUD,SGD,AUD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,0.9179,0.8978,0.907,0.90785,MAS,1.2017640573318655,1.0143329658213875
native,dbs,AUD,SGD,AUD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,0.9183,0.8973,0.907,0.9077999999999999,MAS,1.245865490628443,1.0694597574421214
native,dbs,BDT,SGD,BDT/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,1.0541,,,,,,
native,dbs,BDT,SGD,BDT/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,1.0541,,,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,3.4486,,,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,3.4621,,,,,,
native,dbs,BND,SGD,BND/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,1.0,1.0,,1.0,,,
native,dbs,BND,SGD,BND/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,1.0,1.0,,1.0,,,
native,dbs,CAD,SGD,CAD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,0.9194,0.9056,0.9124,0.9125,MAS,0.7672073651907065,0.7452871547566887
native,dbs,CAD,SGD,CAD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,0.9226,0.9025,0.9124,0.91255,MAS,1.1179307321350271,1.0850504164840005
native,dbs,CHF,SGD,CHF/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,1.5612,1.5316,1.546,1.5464,MAS,0.9831824062095653,0.9314359637774883
native,dbs,CHF,SGD,CHF/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,1.5621,1.5309,1.546,1.5465,MAS,1.0413971539456663,0.9767141009055701
native,dbs,CNH,SGD,CNH/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-18 01:00:00,2026-09-17 17:00:16,2026-09-17T17:10:41.539508+00:00,0.1925,0.1881,,0.1903,,,
