record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,mid_rate,sell_margin_pct,buy_margin_pct
native,dbs,AED,SGD,AED/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.3485,0.3438,0.34614999999999996,0.6788964321825853,0.6788964321825692
native,dbs,AED,SGD,AED/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.3513,0.341,0.34615,1.48779430882565,1.48779430882565
native,dbs,AUD,SGD,AUD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.9213,0.9011,0.9112,1.1084284460052674,1.1084284460052674
native,dbs,AUD,SGD,AUD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.9217,0.9007,0.9112,1.152326602282699,1.1523266022827112
native,dbs,BDT,SGD,BDT/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,1.0517,,,,
native,dbs,BDT,SGD,BDT/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,1.0517,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,3.4353,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,3.4488,,,,
native,dbs,BND,SGD,BND/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,1.0,1.0,1.0,0.0,0.0
native,dbs,BND,SGD,BND/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,1.0,1.0,1.0,0.0,0.0
native,dbs,CAD,SGD,CAD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.9248,0.9109,0.91785,0.7572043362205045,0.7572043362205165
native,dbs,CAD,SGD,CAD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.928,0.9077,0.91785,1.1058451816745647,1.1058451816745767
native,dbs,CHF,SGD,CHF/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,1.5779,1.548,1.56295,0.956524520937971,0.956524520937971
native,dbs,CHF,SGD,CHF/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,1.5787,1.5473,1.563,1.0044785668586083,1.0044785668586083
native,dbs,CNH,SGD,CNH/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.1914,0.187,0.18919999999999998,1.1627906976744227,1.162790697674408
native,dbs,CNH,SGD,CNH/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.192,0.1863,0.18914999999999998,1.5067406819984241,1.5067406819984095
native,dbs,CNY,SGD,CNY/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.1892,,,,
native,dbs,CNY,SGD,CNY/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.1909,,,,
native,dbs,DKK,SGD,DKK/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.1998,0.1943,0.19705,1.3955848769347894,1.3955848769347894
native,dbs,DKK,SGD,DKK/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.2001,0.194,0.19705,1.5478304998731272,1.5478304998731272
native,dbs,EUR,SGD,EUR/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,1.4859,1.4607,1.4733,0.8552229688454451,0.8552229688454451
native,dbs,EUR,SGD,EUR/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,1.4866,1.46,1.4733,0.9027353560035204,0.9027353560035355
native,dbs,GBP,SGD,GBP/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,1.7289,1.703,1.71595,0.7546839942888789,0.7546839942888789
native,dbs,GBP,SGD,GBP/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,1.7306,1.7013,1.7159499999999999,0.8537544800256449,0.8537544800256319
native,dbs,HKD,SGD,HKD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.1637,0.1604,0.16205,1.0182042579450865,1.0182042579450865
native,dbs,HKD,SGD,HKD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.1639,0.1603,0.1621,1.1104256631708798,1.1104256631708798
native,dbs,HUF,SGD,HUF/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.4069,,,,
native,dbs,HUF,SGD,HUF/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.4085,,,,
native,dbs,ID0,SGD,ID0/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,,,,,
native,dbs,ID0,SGD,ID0/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,,0.0071,,,
native,dbs,IDR,SGD,IDR/SGD,100,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.0073,,,,
native,dbs,IDR,SGD,IDR/SGD,100,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,0.0073,,,,
native,dbs,IN0,SGD,IN0/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,,1.3393,,,
native,dbs,IN0,SGD,IN0/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-03 00:30:11,2026-09-02 16:30:25,2026-09-02T16:43:48.511722+00:00,,1.3393,,,
