record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,mid_rate,bank_mid_rate,mid_source,sell_margin_pct,buy_margin_pct
native,dbs,AED,SGD,AED/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-22 02:00:00,2026-09-21 18:00:15,2026-09-21T18:15:08.354505+00:00,0.3499,0.3452,0.34729999999999994,0.34755,MAS,0.7486323063633882,0.6046645551396301
native,dbs,AED,SGD,AED/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-22 02:00:00,2026-09-21 18:00:15,2026-09-21T18:15:08.354505+00:00,0.3527,0.3424,0.34729999999999994,0.34755,MAS,1.5548517132162603,1.4108839619925024
native,dbs,AUD,SGD,AUD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-09-22 02:00:00,2026-09-21 18:00:15,2026-09-21T18:15:08.354505+00:00,0.9193,0.8992,0.9091,0.90925,MAS,1.1219887801121975,1.088989110108901
native,dbs,AUD,SGD,AUD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-09-22 02:00:00,2026-09-21 18:00:15,2026-09-21T18:15:08.354505+00:00,0.9197,0.8987,0.9091,0.9092,MAS,1.1659883401165925,1.1439885601143949
native,dbs,BDT,SGD,BDT/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-22 02:00:00,2026-09-21 18:00:15,2026-09-21T18:15:08.354505+00:00,1.0551,,,,,,
native,dbs,BDT,SGD,BDT/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-22 02:00:00,2026-09-21 18:00:15,2026-09-21T18:15:08.354505+00:00,1.0551,,,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-22 02:00:00,2026-09-21 18:00:15,2026-09-21T18:15:08.354505+00:00,3.4491,,,,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-22 02:00:00,2026-09-21 18:00:15,2026-09-21T18:15:08.354505+00:00,3.4627,,,,,,
native,dbs,BND,SGD,BND/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-09-22 02:00:00,2026-09-21 18:00:15,2026-09-21T18:15:08.354505+00:00,1.0,1.0,,1.0,,,
native,dbs,BND,SGD,BND/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-09-22 02:00:00,2026-09-21 18:00:15,2026-09-21T18:15:08.354505+00:00,1.0,1.0,,1.0,,,
